Date,Open,High,Low,Close,Volume
2017-06-26,66.81,68.53,66.53,68.49,6205510
2017-06-27,68.3,70.3,68.25,69.22,6544001
2017-06-28,70.48,70.81,69.37,69.97,4040232
2017-06-29,69.83,70.42,69.34,69.73,2803385
2017-06-30,70.01,70.41,69.23,69.92,2816889
2017-07-03,70.03,70.66,69.34,69.89,928409
2017-07-05,69.96,70.06,67.7,68.21,4280194
2017-07-06,68.06,68.29,67.55,67.93,2797930
2017-07-07,68.0,68.69,67.67,67.98,1792102
2017-07-10,67.9,68.02,66.01,66.39,3101767
2017-07-11,66.53,67.42,66.39,66.87,2789888
2017-07-12,67.35,68.07,67.0,67.4,1498551
2017-07-13,68.05,68.92,67.85,68.57,2882907
2017-07-14,68.79,69.15,68.2,69.11,2385636
2017-07-17,69.11,70.88,69.11,69.87,2537234
2017-07-18,69.87,70.01,68.82,69.28,1672956
2017-07-19,69.53,70.39,69.31,70.35,2246951
2017-07-20,70.6,71.15,70.09,70.77,3045177
2017-07-21,70.62,71.36,70.52,70.89,2686096
2017-07-24,70.6,70.6,68.66,69.28,2777003
2017-07-25,69.38,71.02,69.17,70.59,1996833
2017-07-26,70.3,71.0,69.54,70.92,1654148
2017-07-27,70.97,72.42,70.37,72.24,3007469
2017-07-28,71.92,72.38,71.17,71.8,1750915
2017-07-31,72.0,72.33,71.19,72.08,1416064
2017-08-01,72.1,73.14,71.79,73.01,2573654
2017-08-02,72.74,73.37,72.23,72.97,2195466
2017-08-03,73.12,74.3,73.08,73.53,2510965
2017-08-04,73.77,74.21,73.23,74.11,1922444
2017-08-07,74.57,75.92,74.5,75.53,3729438
2017-08-08,75.53,76.06,75.32,75.75,2406275
2017-08-09,75.14,75.57,74.42,74.92,2815921
2017-08-10,74.26,74.29,72.78,73.08,2678990
2017-08-11,73.01,73.89,72.85,73.5,1789553
2017-08-14,74.14,75.7,73.95,74.62,3403915
2017-08-15,74.57,74.89,73.31,73.44,3203859
2017-08-16,74.26,75.04,74.22,74.44,4286261
2017-08-17,74.03,74.81,73.2,74.34,2393497
2017-08-18,74.24,74.87,74.2,74.25,2128280
2017-08-21,74.22,74.67,73.74,74.25,2500299
2017-08-22,74.51,75.43,74.51,74.95,1771725
2017-08-23,74.63,74.95,73.86,74.32,4428806
2017-08-24,82.21,82.26,77.57,78.5,13435933
2017-08-25,79.88,80.78,77.92,80.39,4449475
2017-08-28,80.78,81.5,80.21,80.38,2474987
2017-08-29,79.59,80.3,79.43,79.7,3087448
2017-08-30,79.76,80.16,79.34,79.72,2771319
2017-08-31,79.23,80.23,78.32,79.64,3672871
2017-09-01,79.79,81.29,79.66,81.06,3236064
2017-09-05,81.41,83.32,81.37,82.49,3280356
2017-09-06,82.47,83.29,82.23,82.73,2467731
2017-09-07,82.85,83.49,82.67,83.23,2073697
2017-09-08,83.35,83.95,81.71,82.83,2708044
2017-09-11,83.14,83.51,82.2,83.4,2790886
2017-09-12,83.32,84.56,83.16,83.98,1655813
2017-09-13,83.97,84.9,83.66,84.41,2077231
2017-09-14,84.14,84.4,83.13,83.46,1807227
2017-09-15,83.59,84.31,83.0,83.48,2757320
2017-09-18,83.45,84.56,83.05,83.19,1670896
2017-09-19,83.09,83.54,82.36,83.43,2252482
2017-09-20,83.44,83.96,82.29,83.42,1784351
2017-09-21,83.44,83.54,82.4,83.14,1170513
2017-09-22,83.12,84.8,83.04,84.62,2232309
2017-09-25,84.08,86.02,84.08,84.99,1985785
2017-09-26,85.21,86.05,84.75,84.89,1535650
2017-09-27,85.27,86.22,84.37,85.67,1741560
2017-09-28,85.15,85.82,84.65,85.68,1761318
2017-09-29,85.68,87.19,85.68,86.82,1819907
2017-10-02,86.6,86.92,86.18,86.47,1617834
